id,title,genre,year,time_min,rating,metascore,usa_gross_millions
0,The Gentlemen,"Action, Comedy, Crime            ",2019,113,8,51,69.04371293
1,Once Upon a Time... in Hollywood,"Comedy, Drama            ",2019,161,7.7,83,142.5
2,Parasite,"Comedy, Drama, Thriller            ",2019,132,8.6,96,53.37
3,Knives Out,"Comedy, Crime, Drama            ",2019,131,8,82,165.36
4,1917,"Drama, War            ",2019,119,8.4,78,159.23
5,The Ten Commandments,"Adventure, Drama            ",1956,220,7.8,77.51137725,93.74
6,Little Women,"Drama, Romance            ",2019,135,7.9,91,108.1
7,Avengers: Endgame,"Action, Adventure, Drama            ",2019,181,8.4,78,858.37
8,Joker,"Crime, Drama, Thriller            ",2019,122,8.5,59,335.45
9,The Shawshank Redemption,Drama            ,1994,142,9.3,80,28.34
10,Jojo Rabbit,"Comedy, Drama, War            ",2019,108,7.9,58,0.35
11,Ford v Ferrari,"Action, Biography, Drama            ",2019,152,8.1,81,117.62
12,The Godfather,"Crime, Drama            ",1972,175,9.2,100,134.97
13,Inception,"Action, Adventure, Sci-Fi            ",2010,148,8.8,74,292.58
14,The Irishman,"Biography, Crime, Drama            ",2019,209,7.9,94,69.04371293
15,Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy            ",2001,152,7.6,64,317.58
16,The Perks of Being a Wallflower,"Drama, Romance            ",2012,103,8,67,17.74
17,Interstellar,"Adventure, Drama, Sci-Fi            ",2014,169,8.6,74,188.02
18,The Dark Knight,"Action, Crime, Drama            ",2008,152,9,84,534.86
19,Mad Max: Fury Road,"Action, Adventure, Sci-Fi            ",2015,120,8.1,90,154.06
20,Call Me by Your Name,"Drama, Romance            ",2017,132,7.9,93,18.1
21,Road to Perdition,"Crime, Drama, Thriller            ",2002,117,7.7,72,104.45
22,Pulp Fiction,"Crime, Drama            ",1994,154,8.9,94,107.93
23,The Lighthouse,"Drama, Fantasy, Horror            ",2019,109,7.6,83,0.43
24,Raiders of the Lost Ark,"Action, Adventure            ",1981,115,8.4,85,248.16
25,The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama            ",2001,178,8.8,92,315.54
26,Portrait of a Lady on Fire,"Drama, Romance            ",2019,122,8.2,95,69.04371293
27,Toy Story 4,"Animation, Adventure, Comedy            ",2019,100,7.8,84,434.04
28,Goodfellas,"Biography, Crime, Drama            ",1990,146,8.7,90,46.84
29,Blade Runner 2049,"Action, Drama, Mystery            ",2017,164,8,81,92.05
30,Green Book,"Biography, Comedy, Drama            ",2018,130,8.2,69,85.08
31,Avengers: Infinity War,"Action, Adventure, Sci-Fi            ",2018,149,8.5,68,678.82
32,The Social Network,"Biography, Drama            ",2010,120,7.7,95,96.96
33,The Dark Knight Rises,"Action, Adventure            ",2012,164,8.4,78,448.14
34,Inglourious Basterds,"Adventure, Drama, War            ",2009,153,8.3,69,120.54
35,Thor: Ragnarok,"Action, Adventure, Comedy            ",2017,130,7.9,74,315.06
36,Fight Club,Drama            ,1999,139,8.8,66,37.03
37,The Wolf of Wall Street,"Biography, Crime, Drama            ",2013,180,8.2,75,116.9
38,Titanic,"Drama, Romance            ",1997,194,7.8,75,659.33
39,Aliens,"Action, Adventure, Sci-Fi            ",1986,137,8.3,84,85.16
40,Casino Royale,"Action, Adventure, Thriller            ",2006,144,8,80,167.45
41,Forrest Gump,"Drama, Romance            ",1994,142,8.8,82,330.25
42,Gone Girl,"Drama, Mystery, Thriller            ",2014,149,8.1,79,167.77
43,The Last Picture Show,"Drama, Romance            ",1971,118,8,93,29.13
44,The Matrix,"Action, Sci-Fi            ",1999,136,8.7,73,171.48
45,Marriage Story,"Comedy, Drama, Romance            ",2019,137,8,94,69.04371293
46,Goldfinger,"Action, Adventure, Thriller            ",1964,110,7.7,87,51.08
47,Saving Private Ryan,"Drama, War            ",1998,169,8.6,91,216.54
48,The Invisible Guest,"Crime, Mystery, Thriller            ",2016,106,8.1,77.51137725,69.04371293
49,Guardians of the Galaxy,"Action, Adventure, Comedy            ",2014,121,8,76,333.18
50,The Hangover,Comedy            ,2009,100,7.7,73,277.32
51,The Departed,"Crime, Drama, Thriller            ",2006,151,8.5,85,132.38
52,Prisoners,"Crime, Drama, Mystery            ",2013,153,8.1,70,61
53,Se7en,"Crime, Drama, Mystery            ",1995,127,8.6,65,100.13
54,The Prestige,"Drama, Mystery, Sci-Fi            ",2006,130,8.5,66,53.09
55,Schindler's List,"Biography, Drama, History            ",1993,195,8.9,94,96.9
56,Skyfall,"Action, Adventure, Thriller            ",2012,143,7.7,81,304.36
57,Taxi Driver,"Crime, Drama            ",1976,114,8.3,94,28.26
58,Howl's Moving Castle,"Animation, Adventure, Family            ",2004,119,8.2,80,4.71
59,Deadpool,"Action, Adventure, Comedy            ",2016,108,8,65,363.07
60,Good Will Hunting,"Drama, Romance            ",1997,126,8.3,70,138.43
61,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy            ",2017,136,7.6,67,389.81
62,The Shining,"Drama, Horror            ",1980,146,8.4,66,44.02
63,Shutter Island,"Mystery, Thriller            ",2010,138,8.1,63,128.01
64,Gladiator,"Action, Adventure, Drama            ",2000,155,8.5,67,187.71
65,The Silence of the Lambs,"Crime, Drama, Thriller            ",1991,118,8.6,85,130.74
66,Bohemian Rhapsody,"Biography, Drama, Music            ",2018,134,8,49,216.43
67,American Beauty,Drama            ,1999,122,8.3,84,130.1
68,Léon: The Professional,"Action, Crime, Drama            ",1994,110,8.5,64,19.5
69,Star Wars: Episode IV - A New Hope,"Action, Adventure, Fantasy            ",1977,121,8.6,90,322.74
70,"The Good, the Bad and the Ugly",Western            ,1966,178,8.8,90,6.1
71,Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy            ",2011,130,8.1,85,381.01
72,Mission: Impossible - Fallout,"Action, Adventure, Thriller            ",2018,147,7.7,86,220.16
73,Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy            ",2003,143,8,63,305.41
74,The Lord of the Rings: The Return of the King,"Adventure, Drama, Fantasy            ",2003,201,8.9,94,377.85
75,12 Monkeys,"Mystery, Sci-Fi, Thriller            ",1995,129,8,74,57.14
76,The Avengers,"Action, Adventure, Sci-Fi            ",2012,143,8,69,623.28
77,Minority Report,"Action, Crime, Mystery            ",2002,145,7.6,80,132.07
78,Baby Driver,"Action, Crime, Drama            ",2017,113,7.6,86,107.83
79,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure            ",2018,117,8.4,87,190.24
80,Back to the Future,"Adventure, Comedy, Sci-Fi            ",1985,116,8.5,87,210.61
81,Spirited Away,"Animation, Adventure, Family            ",2001,125,8.6,96,10.06
82,Dunkirk,"Action, Drama, History            ",2017,106,7.9,94,188.37
83,The Godfather: Part II,"Crime, Drama            ",1974,202,9,90,57.3
84,Django Unchained,"Drama, Western            ",2012,165,8.4,81,162.81
85,No Country for Old Men,"Crime, Drama, Thriller            ",2007,122,8.1,91,74.28
86,Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy            ",2005,157,7.7,81,290.01
87,Requiem for a Dream,Drama            ,2000,102,8.3,68,3.64
88,Alien,"Horror, Sci-Fi            ",1979,117,8.4,89,78.9
89,Avatar,"Action, Adventure, Fantasy            ",2009,162,7.8,83,760.51
90,28 Days Later...,"Drama, Horror, Sci-Fi            ",2002,113,7.6,73,45.06
91,Ex Machina,"Drama, Mystery, Sci-Fi            ",2014,108,7.7,78,25.44
92,The Green Mile,"Crime, Drama, Fantasy            ",1999,189,8.6,61,136.8
93,Jurassic Park,"Action, Adventure, Sci-Fi            ",1993,127,8.1,68,402.45
94,Apocalypse Now,"Drama, Mystery, War            ",1979,147,8.4,94,83.47
95,Snatch,"Comedy, Crime            ",2000,102,8.3,55,30.33
96,The Big Short,"Biography, Comedy, Drama            ",2015,130,7.8,81,70.26
97,Iron Man,"Action, Adventure, Sci-Fi            ",2008,126,7.9,79,318.41
98,Moana,"Animation, Adventure, Comedy            ",2016,107,7.6,81,248.76
99,Deadpool 2,"Action, Adventure, Comedy            ",2018,119,7.7,66,324.59
100,Lion,"Biography, Drama            ",2016,118,8,69,51.74
101,Blade Runner,"Action, Sci-Fi, Thriller            ",1982,117,8.1,84,32.87
102,There Will Be Blood,Drama            ,2007,158,8.2,93,40.22
103,Rogue One: A Star Wars Story,"Action, Adventure, Sci-Fi            ",2016,133,7.8,65,532.18
104,The Lion King,"Animation, Adventure, Drama            ",1994,88,8.5,88,422.78
105,Her,"Drama, Romance, Sci-Fi            ",2013,126,8,90,25.57
